inst,density,t,rep,J,Res,composite,return_code,timeout,ok
RC104,d50,0.6,2,281.6687557001582,1.950999,282.0589555001582,0,False,True
RC105,d50,0.6,0,439.11046288365964,5.12666,440.1357948836596,0,False,True
RC105,d50,0.6,1,439.11046288365964,5.620456,440.23455408365965,0,False,True
RC105,d50,0.6,2,439.11046288365964,5.20023,440.15050888365965,0,False,True
RC101,d75,1.0,0,549.4845950707235,6.652873,550.8151696707234,0,False,True
RC101,d75,1.0,1,549.4845950707235,5.411971,550.5669892707234,0,False,True
RC101,d75,1.0,2,549.4845950707235,5.640907,550.6127764707235,0,False,True
RC102,d75,1.0,0,350.2659121970153,10.150949,352.29610199701534,0,False,True
RC102,d75,1.0,1,350.2659121970153,8.376679,351.94124799701535,0,False,True
RC102,d75,1.0,2,350.2659121970153,8.475039,351.9609199970153,0,False,True
RC103,d75,1.0,0,80.08211389495256,15.144467,83.11100729495256,0,False,True
RC103,d75,1.0,1,80.08211389495256,15.966851,83.27548409495256,0,False,True
RC103,d75,1.0,2,80.08211389495256,15.918107,83.26573529495255,0,False,True
RC104,d75,1.0,0,119.22086705512665,6.132636,120.44739425512665,0,False,True
RC104,d75,1.0,1,119.22086705512665,6.203016,120.46147025512664,0,False,True
RC104,d75,1.0,2,119.22086705512665,6.064163,120.43369965512665,0,False,True
RC105,d75,1.0,0,304.192001556073,5.169481,305.22589775607304,0,False,True
RC105,d75,1.0,1,304.192001556073,5.243959,305.240793356073,0,False,True
RC105,d75,1.0,2,304.192001556073,5.711649,305.33433135607305,0,False,True
RC101,d75,0.9,0,435.48459507072346,6.130046,436.7106042707235,0,False,True
RC101,d75,0.9,1,435.48459507072346,5.88609,436.66181307072344,0,False,True
RC101,d75,0.9,2,435.48459507072346,5.573668,436.5993286707235,0,False,True
RC102,d75,0.9,0,375.12435786887664,8.435113,376.8113804688766,0,False,True
RC102,d75,0.9,1,375.12435786887664,8.399818,376.80432146887665,0,False,True
RC102,d75,0.9,2,375.12435786887664,8.851185,376.89459486887665,0,False,True
RC103,d75,0.9,0,80.08211389495256,16.278884,83.33789069495256,0,False,True
RC103,d75,0.9,1,80.08211389495256,16.643329,83.41077969495255,0,False,True
RC103,d75,0.9,2,80.08211389495256,15.850326,83.25217909495255,0,False,True
RC104,d75,0.9,0,119.22086705512665,6.393199,120.49950685512664,0,False,True
RC104,d75,0.9,1,119.22086705512665,6.134799,120.44782685512665,0,False,True
RC104,d75,0.9,2,119.22086705512665,6.304583,120.48178365512665,0,False,True
RC105,d75,0.9,0,252.7721610273433,5.793868,253.93093462734328,0,False,True
RC105,d75,0.9,1,252.7721610273433,6.129191,253.99799922734329,0,False,True
RC105,d75,0.9,2,252.7721610273433,5.2433,253.8208210273433,0,False,True
RC101,d75,0.8,0,435.48459507072346,6.326834,436.74996187072344,0,False,True
RC101,d75,0.8,1,435.48459507072346,6.17988,436.72057107072345,0,False,True
RC101,d75,0.8,2,435.48459507072346,6.450101,436.7746152707235,0,False,True
RC102,d75,0.8,0,370.1243578688766,8.357003,371.7957584688766,0,False,True
RC102,d75,0.8,1,370.1243578688766,7.774741,371.6793060688766,0,False,True
RC102,d75,0.8,2,370.1243578688766,7.409141,371.6061860688766,0,False,True
RC103,d75,0.8,0,80.08211389495256,14.847914,83.05169669495255,0,False,True
RC103,d75,0.8,1,80.08211389495256,14.376169,82.95734769495256,0,False,True
RC103,d75,0.8,2,80.08211389495256,14.643247,83.01076329495255,0,False,True
RC104,d75,0.8,0,119.22086705512665,5.917134,120.40429385512665,0,False,True
RC104,d75,0.8,1,119.22086705512665,5.985136,120.41789425512664,0,False,True
RC104,d75,0.8,2,119.22086705512665,6.270996,120.47506625512665,0,False,True
RC105,d75,0.8,0,310.78167203940063,5.485499,311.87877183940066,0,False,True
RC105,d75,0.8,1,310.78167203940063,5.231539,311.82797983940065,0,False,True
RC105,d75,0.8,2,310.78167203940063,4.810128,311.74369763940064,0,False,True
RC101,d75,0.7,0,435.48459507072346,5.568286,436.59825227072344,0,False,True
RC101,d75,0.7,1,435.48459507072346,5.4239,436.5693750707235,0,False,True
RC101,d75,0.7,2,435.48459507072346,5.381509,436.56089687072347,0,False,True
RC102,d75,0.7,0,370.1243578688766,7.289966,371.58235106887656,0,False,True
RC102,d75,0.7,1,370.1243578688766,7.281058,371.5805694688766,0,False,True
RC102,d75,0.7,2,370.1243578688766,7.541889,371.6327356688766,0,False,True
RC103,d75,0.7,0,80.08211389495256,15.080577,83.09822929495256,0,False,True
RC103,d75,0.7,1,80.08211389495256,14.256079,82.93332969495256,0,False,True
RC103,d75,0.7,2,80.08211389495256,14.713367,83.02478729495256,0,False,True
RC104,d75,0.7,0,119.22086705512665,6.032257,120.42731845512665,0,False,True
RC104,d75,0.7,1,119.22086705512665,5.952847,120.41143645512665,0,False,True
RC104,d75,0.7,2,119.22086705512665,6.07841,120.43654905512665,0,False,True
RC105,d75,0.7,0,310.7816720394007,5.339961,311.8496642394007,0,False,True
RC105,d75,0.7,1,310.7816720394007,5.480485,311.8777690394007,0,False,True
RC105,d75,0.7,2,310.7816720394007,5.047457,311.7911634394007,0,False,True
RC101,d75,0.6,0,435.48459507072346,5.478211,436.58023727072344,0,False,True
RC101,d75,0.6,1,435.48459507072346,5.317803,436.5481556707235,0,False,True
RC101,d75,0.6,2,435.48459507072346,5.285365,436.54166807072346,0,False,True
RC102,d75,0.6,0,302.0423185438829,7.334478,303.5092141438829,0,False,True
