inst,density,t,n_ok,n_rep,timed_out,J_median,J_mean,J_std,J_min,J_max,Res_median,Res_mean,Res_std,composite_median,composite_mean
RC105,d25,0.7,3,3,False,396.54111486560515,361.29651416195065,49.84339231553255,290.8073127546416,396.54111486560515,5.799955,5.797199,0.3366986193625787,397.61780646560516,362.4559539619506
RC101,d25,0.6,3,3,False,557.4760643188131,557.4760643188131,0.0,557.4760643188131,557.4760643188131,5.839478,5.672370333333333,0.2751626654015561,558.643959918813,558.6105383854797
RC102,d25,0.6,3,3,False,425.07761520817064,425.0776152081706,0.0,425.07761520817064,425.07761520817064,2.597661,2.701401333333333,0.16528734739302406,425.59714740817066,425.6178954748373
RC103,d25,0.6,0,3,True,,,,,,,,,,
RC104,d25,0.6,3,3,False,495.7876266617914,495.7876266617914,0.0,495.7876266617914,495.7876266617914,1.859072,1.8500203333333334,0.05465228663915983,496.1594410617914,496.1576307284581
RC105,d25,0.6,3,3,False,290.8073127546416,290.8073127546416,0.0,290.8073127546416,290.8073127546416,5.743052,5.875184999999999,0.2887133584520584,291.9559231546416,291.9823497546416
RC101,d50,1.0,3,3,False,713.5215792178652,713.5215792178652,0.0,713.5215792178652,713.5215792178652,5.853688,5.843028333333334,0.0485097664416375,714.6923168178653,714.6901848845318
RC102,d50,1.0,3,3,False,551.810759545803,551.810759545803,0.0,551.810759545803,551.810759545803,5.290163,5.492105666666666,0.30965426819958775,552.868792145803,552.9091806791363
RC103,d50,1.0,0,3,True,,,,,,,,,,
RC104,d50,1.0,3,3,False,376.2111006978276,376.2111006978276,0.0,376.2111006978276,376.2111006978276,2.488712,2.4778606666666665,0.042897343020544036,376.7088430978276,376.7066728311609
RC105,d50,1.0,3,3,False,405.3923796323695,405.54622981704875,0.21757701774704416,405.3923796323695,405.85393018640735,4.923129,4.830267666666667,0.17023020048811024,406.38761783236953,406.5122833503821
RC101,d50,0.9,3,3,False,697.2401392440023,697.2401392440023,0.0,697.2401392440023,697.2401392440023,6.173741,6.357052666666667,0.38832815101177265,698.4748874440023,698.5115497773355
RC102,d50,0.9,3,3,False,540.698216895702,540.698216895702,0.0,540.698216895702,540.698216895702,6.294928,6.284425333333334,0.10897150884316295,541.957202495702,541.9551019623686
RC103,d50,0.9,0,3,True,,,,,,,,,,
RC104,d50,0.9,3,3,False,287.6687557001582,287.6687557001582,0.0,287.6687557001582,287.6687557001582,2.400436,2.5506623333333334,0.22169083721906266,288.14884290015823,288.1788881668249
RC105,d50,0.9,3,3,False,476.2752533584295,476.27525335842955,0.0,476.2752533584295,476.2752533584295,5.258477,5.394405666666667,0.5505282249000096,477.3269487584295,477.35413449176286
RC101,d50,0.8,3,3,False,697.2401392440023,697.2401392440023,0.0,697.2401392440023,697.2401392440023,5.966708,6.054611,0.20009721493480778,698.4334808440024,698.4510614440023
RC102,d50,0.8,3,3,False,384.90137862288685,384.90137862288685,0.0,384.90137862288685,384.90137862288685,6.541654,6.591535,0.11307671024869212,386.2097094228869,386.21968562288686
